time;lat;lon;pr;tmax;tmin;ih
05-2000;-37,125;-72,725;60,620;16,004;4,986;3
05-2000;-37,125;-72,675;61,890;16,008;4,901;3
05-2000;-37,125;-72,625;61,640;16,266;4,803;3
05-2000;-37,125;-72,575;59,000;16,268;4,668;3
05-2000;-37,125;-72,525;58,420;16,247;4,594;3
05-2000;-37,125;-72,475;60,180;16,163;4,475;3
05-2000;-37,125;-72,425;62,020;16,148;4,409;3
05-2000;-37,125;-72,375;63,870;16,199;4,285;3
05-2000;-37,125;-72,325;66,350;16,067;4,313;3
05-2000;-37,125;-72,275;68,910;16,063;4,235;3
05-2000;-37,125;-72,225;68,720;16,070;4,161;3
05-2000;-37,125;-72,175;66,480;15,990;4,177;3
05-2000;-37,125;-72,125;63,800;16,017;4,251;3
05-2000;-37,125;-72,075;63,080;16,301;4,402;3
05-2000;-37,125;-72,025;63,350;16,289;4,465;3
05-2000;-37,125;-71,975;65,580;15,966;4,432;3
05-2000;-37,125;-71,925;69,080;15,773;4,052;3
05-2000;-37,125;-71,875;70,440;14,940;3,763;3
05-2000;-37,125;-71,825;72,310;14,435;4,059;3
05-2000;-37,125;-71,775;75,640;14,230;4,018;3
05-2000;-37,125;-71,725;77,240;13,925;4,002;3
05-2000;-37,125;-71,675;84,120;13,698;3,817;2
05-2000;-37,125;-71,625;90,660;12,984;3,281;2
05-2000;-37,125;-71,575;99,150;11,884;1,744;2
05-2000;-37,125;-71,525;104,240;10,899;,102;1
05-2000;-37,125;-71,475;99,980;10,645;-,433;1
05-2000;-37,125;-71,425;76,360;11,807;,863;2
05-2000;-37,125;-71,375;87,170;10,299;-1,211;1
05-2000;-37,125;-71,325;78,690;10,248;-1,317;1
05-2000;-37,125;-71,275;73,070;10,487;-1,219;1
05-2000;-37,125;-71,225;75,500;10,937;-,584;1
05-2000;-37,125;-71,175;96,550;9,655;-1,784;1
05-2000;-37,125;-71,125;102,460;8,499;-2,413;1
05-2000;-37,125;-71,075;96,570;8,154;-3,179;1
05-2000;-37,125;-71,025;89,110;7,717;-3,312;1
05-2000;-37,125;-70,975;91,570;7,503;-3,645;1
05-2000;-37,075;-72,925;63,370;15,726;6,179;3
05-2000;-37,075;-72,875;63,680;15,647;5,739;3
05-2000;-37,075;-72,825;66,030;15,680;5,395;3
05-2000;-37,075;-72,775;62,870;15,788;5,007;3
05-2000;-37,075;-72,725;63,530;15,822;4,751;3
05-2000;-37,075;-72,675;64,550;16,049;4,682;3
05-2000;-37,075;-72,625;61,770;16,296;4,836;3
05-2000;-37,075;-72,575;60,670;16,534;4,634;3
05-2000;-37,075;-72,525;60,100;16,404;4,419;3
05-2000;-37,075;-72,475;60,910;16,374;4,335;3
05-2000;-37,075;-72,425;62,220;16,204;4,242;3
05-2000;-37,075;-72,375;63,570;16,185;4,147;3
05-2000;-37,075;-72,325;65,930;16,298;4,150;3
05-2000;-37,075;-72,275;67,940;16,184;4,141;3
05-2000;-37,075;-72,225;67,750;16,132;4,138;3
05-2000;-37,075;-72,175;65,020;15,940;4,144;3
05-2000;-37,075;-72,125;62,460;15,876;4,134;3
05-2000;-37,075;-72,075;62,240;16,110;4,320;3
05-2000;-37,075;-72,025;63,250;16,179;4,318;3
05-2000;-37,075;-71,975;66,050;15,861;4,182;3
05-2000;-37,075;-71,925;70,640;15,202;3,858;3
05-2000;-37,075;-71,875;75,770;14,892;3,402;3
05-2000;-37,075;-71,825;77,690;14,542;3,415;3
05-2000;-37,075;-71,775;80,440;14,118;3,374;2
05-2000;-37,075;-71,725;87,040;13,549;3,207;2
05-2000;-37,075;-71,675;96,450;12,897;2,709;2
05-2000;-37,075;-71,625;109,920;12,152;1,963;2
05-2000;-37,075;-71,575;113,560;11,258;,832;2
05-2000;-37,075;-71,525;110,420;10,760;-,148;1
05-2000;-37,075;-71,475;93,340;11,494;,463;2
05-2000;-37,075;-71,425;83,850;12,259;,810;2
05-2000;-37,075;-71,375;81,910;11,878;,202;2
05-2000;-37,075;-71,325;81,530;11,390;-,210;1
05-2000;-37,075;-71,275;93,040;9,394;-2,012;1
05-2000;-37,075;-71,225;83,930;9,769;-1,657;1
05-2000;-37,075;-71,175;101,480;9,210;-2,413;1
05-2000;-37,075;-71,125;102,790;8,560;-2,923;1
05-2000;-37,075;-71,075;92,240;8,226;-3,224;1
05-2000;-37,075;-71,025;86,670;8,164;-3,308;1
05-2000;-37,075;-70,975;83,160;8,652;-3,581;1
05-2000;-37,025;-72,925;64,640;15,580;6,077;3
05-2000;-37,025;-72,875;63,130;15,604;5,611;3
05-2000;-37,025;-72,825;60,090;15,780;5,615;3
05-2000;-37,025;-72,775;62,990;15,837;5,064;3
05-2000;-37,025;-72,725;64,610;16,120;4,806;3
05-2000;-37,025;-72,675;64,620;16,051;4,818;3
05-2000;-37,025;-72,625;64,260;16,208;4,640;3
05-2000;-37,025;-72,575;61,350;16,411;4,743;3
05-2000;-37,025;-72,525;60,720;16,365;4,462;3
05-2000;-37,025;-72,475;61,520;16,381;4,317;3
05-2000;-37,025;-72,425;62,630;16,314;4,178;3
05-2000;-37,025;-72,375;63,360;16,091;4,092;3
05-2000;-37,025;-72,325;64,700;16,201;4,122;3
05-2000;-37,025;-72,275;66,710;16,237;4,128;3
05-2000;-37,025;-72,225;66,240;16,142;4,209;3
05-2000;-37,025;-72,175;63,730;16,093;4,167;3
05-2000;-37,025;-72,125;61,500;16,275;4,009;3
05-2000;-37,025;-72,075;61,720;16,240;4,117;3
05-2000;-37,025;-72,025;62,330;16,155;4,088;3
05-2000;-37,025;-71,975;65,220;15,839;3,955;3
05-2000;-37,025;-71,925;70,400;15,400;3,538;3
05-2000;-37,025;-71,875;76,570;14,568;3,145;3
05-2000;-37,025;-71,825;81,460;14,446;3,147;2
05-2000;-37,025;-71,775;88,670;13,981;3,130;2
05-2000;-37,025;-71,725;96,110;13,577;2,891;2
05-2000;-37,025;-71,675;100,520;12,723;2,347;2
05-2000;-37,025;-71,625;120,580;11,581;1,020;2
05-2000;-37,025;-71,575;116,450;11,365;,760;2
05-2000;-37,025;-71,525;109,020;11,484;,442;2
05-2000;-37,025;-71,475;103,100;11,339;,437;2
05-2000;-37,025;-71,425;101,580;11,021;,100;1
05-2000;-37,025;-71,375;97,940;10,797;-,688;1
05-2000;-37,025;-71,325;91,320;10,974;-,511;1
05-2000;-37,025;-71,275;101,560;9,467;-2,238;1
05-2000;-37,025;-71,225;107,910;8,201;-3,294;1
05-2000;-37,025;-71,175;102,430;8,175;-3,547;1
05-2000;-37,025;-71,125;89,390;8,744;-2,526;1
05-2000;-37,025;-71,075;76,300;8,926;-2,419;1
05-2000;-37,025;-71,025;68,490;10,714;-1,237;1
05-2000;-37,025;-70,975;73,160;11,341;-1,379;1
05-2000;-36,975;-72,925;54,610;15,700;5,303;3
05-2000;-36,975;-72,875;59,610;15,355;4,966;3
05-2000;-36,975;-72,825;60,460;15,442;4,783;3
05-2000;-36,975;-72,775;63,640;15,294;4,573;3
05-2000;-36,975;-72,725;64,140;15,508;4,419;3
05-2000;-36,975;-72,675;62,620;15,670;4,453;3
05-2000;-36,975;-72,625;60,940;15,920;4,485;3
05-2000;-36,975;-72,575;60,830;16,123;4,152;3
05-2000;-36,975;-72,525;60,550;16,305;4,155;3
05-2000;-36,975;-72,475;61,530;16,277;4,034;3
05-2000;-36,975;-72,425;62,310;16,122;4,020;3
05-2000;-36,975;-72,375;63,460;16,036;4,011;3
05-2000;-36,975;-72,325;63,720;16,281;4,031;3
05-2000;-36,975;-72,275;64,940;16,367;4,033;3
05-2000;-36,975;-72,225;64,640;16,263;4,121;3
05-2000;-36,975;-72,175;63,900;16,181;4,051;3
05-2000;-36,975;-72,125;62,650;16,104;4,004;3
05-2000;-36,975;-72,075;62,540;16,279;3,844;3
05-2000;-36,975;-72,025;63,070;16,271;3,832;3
05-2000;-36,975;-71,975;66,240;16,090;3,663;3
05-2000;-36,975;-71,925;71,920;15,897;3,442;3
05-2000;-36,975;-71,875;78,940;15,256;3,324;3
05-2000;-36,975;-71,825;84,240;14,750;3,446;3
05-2000;-36,975;-71,775;91,390;14,608;3,258;3
05-2000;-36,975;-71,725;104,800;13,362;3,171;2
05-2000;-36,975;-71,675;113,310;12,851;2,602;2
05-2000;-36,975;-71,625;123,040;11,903;1,892;2
05-2000;-36,975;-71,575;114,340;11,890;1,700;2
05-2000;-36,975;-71,525;104,010;12,719;1,677;2
05-2000;-36,975;-71,475;108,140;12,414;1,060;2
05-2000;-36,975;-71,425;111,010;10,756;-,144;1
05-2000;-36,975;-71,375;109,850;9,895;-,829;1
05-2000;-36,975;-71,325;101,230;9,816;-1,441;1
05-2000;-36,975;-71,275;98,310;9,255;-1,779;1
05-2000;-36,975;-71,225;98,950;7,112;-2,768;1
05-2000;-36,975;-71,175;74,630;8,105;-2,238;1
05-2000;-36,975;-71,125;63,330;8,810;-1,794;1
05-2000;-36,975;-71,075;68,410;8,840;-1,955;1
05-2000;-36,975;-71,025;56,390;7,996;-2,117;1
05-2000;-36,975;-70,975;38,910;10,444;-1,384;1
05-2000;-36,925;-72,925;59,270;15,024;5,244;3
05-2000;-36,925;-72,875;60,900;15,257;4,937;3
05-2000;-36,925;-72,825;62,250;15,248;4,673;3
05-2000;-36,925;-72,775;63,880;15,171;4,601;3
05-2000;-36,925;-72,725;66,120;15,009;4,482;3
05-2000;-36,925;-72,675;66,010;14,980;4,468;3
05-2000;-36,925;-72,625;63,430;15,621;4,510;3
05-2000;-36,925;-72,575;58,710;16,141;4,290;3
05-2000;-36,925;-72,525;59,040;16,346;4,000;3
05-2000;-36,925;-72,475;59,630;16,079;4,186;3
05-2000;-36,925;-72,425;61,600;15,995;4,141;3
05-2000;-36,925;-72,375;61,270;15,990;4,021;3
05-2000;-36,925;-72,325;61,800;16,078;3,940;3
05-2000;-36,925;-72,275;62,380;15,994;3,998;3
05-2000;-36,925;-72,225;62,600;16,245;3,959;3
05-2000;-36,925;-72,175;61,800;16,195;3,973;3
05-2000;-36,925;-72,125;61,140;16,346;3,892;3
05-2000;-36,925;-72,075;61,390;16,464;3,761;3
05-2000;-36,925;-72,025;62,030;16,407;3,712;3
05-2000;-36,925;-71,975;65,110;16,346;3,617;3
05-2000;-36,925;-71,925;70,580;16,172;3,434;3
05-2000;-36,925;-71,875;76,370;15,669;3,410;3
05-2000;-36,925;-71,825;81,400;15,221;3,526;3
05-2000;-36,925;-71,775;91,070;14,546;3,506;3
05-2000;-36,925;-71,725;101,380;13,977;3,204;2
05-2000;-36,925;-71,675;121,520;12,806;2,686;2
05-2000;-36,925;-71,625;119,560;12,977;2,436;2
05-2000;-36,925;-71,575;103,830;13,556;2,143;2
05-2000;-36,925;-71,525;116,060;12,107;1,138;2
05-2000;-36,925;-71,475;117,170;11,614;,775;2
05-2000;-36,925;-71,425;113,390;10,894;-,202;1
05-2000;-36,925;-71,375;122,890;9,228;-1,501;1
05-2000;-36,925;-71,325;121,300;7,784;-2,269;1
05-2000;-36,925;-71,275;102,670;8,321;-2,188;1
05-2000;-36,925;-71,225;75,000;9,688;-1,975;1
05-2000;-36,925;-71,175;67,700;10,852;-1,227;1
05-2000;-36,925;-71,125;73,440;9,499;-1,733;1
05-2000;-36,925;-71,075;71,350;8,556;-2,266;1
05-2000;-36,925;-71,025;53,310;9,247;-1,980;1
05-2000;-36,925;-70,975;40,100;10,510;-1,621;1
05-2000;-36,875;-72,925;61,160;15,090;5,036;3
05-2000;-36,875;-72,875;58,830;15,446;4,903;3
05-2000;-36,875;-72,825;59,440;15,588;4,546;3
05-2000;-36,875;-72,775;59,800;15,478;4,303;3
05-2000;-36,875;-72,725;60,170;15,491;4,448;3
05-2000;-36,875;-72,675;63,410;15,294;4,516;3
05-2000;-36,875;-72,625;63,760;15,332;4,535;3
05-2000;-36,875;-72,575;57,650;15,952;4,500;3
05-2000;-36,875;-72,525;59,890;16,169;4,389;3
05-2000;-36,875;-72,475;59,240;16,246;4,266;3
05-2000;-36,875;-72,425;59,620;16,232;4,120;3
05-2000;-36,875;-72,375;58,960;16,284;4,132;3
05-2000;-36,875;-72,325;59,260;16,567;3,925;3
05-2000;-36,875;-72,275;60,290;16,591;3,939;3
05-2000;-36,875;-72,225;60,810;16,461;3,858;3
05-2000;-36,875;-72,175;60,470;16,489;3,810;3
05-2000;-36,875;-72,125;60,640;16,411;3,799;3
05-2000;-36,875;-72,075;61,100;16,440;3,810;3
05-2000;-36,875;-72,025;61,570;16,447;3,834;3
05-2000;-36,875;-71,975;64,430;16,362;3,704;3
05-2000;-36,875;-71,925;69,340;16,126;3,616;3
05-2000;-36,875;-71,875;75,340;15,870;3,474;3
05-2000;-36,875;-71,825;81,490;15,510;3,537;3
05-2000;-36,875;-71,775;90,100;15,129;3,459;3
05-2000;-36,875;-71,725;101,110;14,475;3,288;3
05-2000;-36,875;-71,675;111,870;13,785;2,834;2
05-2000;-36,875;-71,625;111,750;14,172;2,604;2
05-2000;-36,875;-71,575;113,280;13,271;2,049;2
05-2000;-36,875;-71,525;123,050;11,833;,747;2
05-2000;-36,875;-71,475;125,320;10,691;-,605;1
05-2000;-36,875;-71,425;139,110;8,934;-1,870;1
05-2000;-36,875;-71,375;144,810;7,290;-2,450;1
05-2000;-36,875;-71,325;109,010;9,845;-2,025;1
05-2000;-36,875;-71,275;94,260;10,132;-1,737;1
05-2000;-36,875;-71,225;71,200;11,097;-1,222;1
05-2000;-36,875;-71,175;76,550;9,922;-1,528;1
05-2000;-36,875;-71,125;68,310;9,052;-1,687;1
05-2000;-36,875;-71,075;55,250;10,411;-1,520;1
05-2000;-36,875;-71,025;50,710;10,553;-1,462;1
05-2000;-36,875;-70,975;45,340;10,868;-1,290;1
05-2000;-36,825;-72,925;52,150;15,597;4,988;3
05-2000;-36,825;-72,875;52,690;15,741;4,855;3
